annotation_approver,id,label,meta,meta.number,meta.pretext,meta.title,text,user
,1976,144,,,,,"Magic variable role_names to also list roles belonged to via dependencies?

ISSUE TYPE

Feature Idea

ANSIBLE VERSION
ansible 2.0.2.0 (not that relevant here though)
COMPONENT NAME
magic variables
SUMMARY
The magic variable role_names, containing the list of all role names that the current target of the playbook belongs to, is quite useful in certain scenarios. For example, I use the same playbook to set up development vagrant VMs as well as test and production servers. A few tasks in certain roles are conditional on role membership, e.g. having when: ""'dev' in role_names"".
However, it looks like roles that are included via role dependencies in meta/main.yml files are not included in the role_names list. You could make an argument either way, but it seems to me that they should be there for completeness' sake, since role membership via dependency is still a type of role membership.
Seeing as role_names isn't really documented (""role_names"" site:docs.ansible.com on Google returns nothing, at least), it probably isn't very widely used right now, and changing the behaviour probably won't break much. Is this something you could consider?",3
,1976,148,,,,,"Magic variable role_names to also list roles belonged to via dependencies?

ISSUE TYPE

Feature Idea

ANSIBLE VERSION
ansible 2.0.2.0 (not that relevant here though)
COMPONENT NAME
magic variables
SUMMARY
The magic variable role_names, containing the list of all role names that the current target of the playbook belongs to, is quite useful in certain scenarios. For example, I use the same playbook to set up development vagrant VMs as well as test and production servers. A few tasks in certain roles are conditional on role membership, e.g. having when: ""'dev' in role_names"".
However, it looks like roles that are included via role dependencies in meta/main.yml files are not included in the role_names list. You could make an argument either way, but it seems to me that they should be there for completeness' sake, since role membership via dependency is still a type of role membership.
Seeing as role_names isn't really documented (""role_names"" site:docs.ansible.com on Google returns nothing, at least), it probably isn't very widely used right now, and changing the behaviour probably won't break much. Is this something you could consider?",2
,1977,148,,,,,"SmartOS IP address fact

On SmartOS, in contrast with the other OS's, it appears that the IP address object is an actual list of IPs.  Is that to be expected?
for example, in a smartos, I have to address it like this:
{{ ansible_net1['ipv4'][0]['address'] }}

where on linux
{{ ansible_net1['ipv4']['address'] }}

will suffice.",2
,1977,144,,,,,"SmartOS IP address fact

On SmartOS, in contrast with the other OS's, it appears that the IP address object is an actual list of IPs.  Is that to be expected?
for example, in a smartos, I have to address it like this:
{{ ansible_net1['ipv4'][0]['address'] }}

where on linux
{{ ansible_net1['ipv4']['address'] }}

will suffice.",3
,1978,148,,,,,"maven_artifact module should allow preserving the name of the downloaded artifact

ISSUE TYPE

Feature Idea

COMPONENT NAME
maven_artifact
ANSIBLE VERSION
ansible 2.3.0 (devel 3e4be156d7) last updated 2017/03/06 21:46:14 (GMT +200)

CONFIGURATION
N/A
OS / ENVIRONMENT
N/A
SUMMARY
When downloading an artifact you can ask the module to determine the latest version automatically (it gets extracted from the repo's metadata). The artifact's name in the repository comes with a version string which currently gets overwritten with 'latest' when downloading.
The problem with this approach is that you sometimes need to know what version the downloaded artifact has for further processing, My use case is transferring the version to the RPM that I build from it.
STEPS TO REPRODUCE
The implementation should introduce an additional parameter which causes what I described above. This is only relevant for the constellation version: latest and dest being a directory, because else the filename chosen by dest or the version explicitly selected win.

- hosts: localhost
  gather_facts: no
  tasks:
    - maven_artifact:
        version: latest
        artifact_id: spring-core
        group_id: org.springframework
        dest: /tmp/
        keep_name: yes
EXPECTED RESULTS
The downloaded artifact contains the dynamically determined version string. In this case, the last version found in this list. At the moment of creating this issue this is /tmp/spring-core-4.3.7.RELEASE.jar
ACTUAL RESULTS
The downloaded artifact is renamed to /tmp/spring-core-latest.jar",2
,1978,142,,,,,"maven_artifact module should allow preserving the name of the downloaded artifact

ISSUE TYPE

Feature Idea

COMPONENT NAME
maven_artifact
ANSIBLE VERSION
ansible 2.3.0 (devel 3e4be156d7) last updated 2017/03/06 21:46:14 (GMT +200)

CONFIGURATION
N/A
OS / ENVIRONMENT
N/A
SUMMARY
When downloading an artifact you can ask the module to determine the latest version automatically (it gets extracted from the repo's metadata). The artifact's name in the repository comes with a version string which currently gets overwritten with 'latest' when downloading.
The problem with this approach is that you sometimes need to know what version the downloaded artifact has for further processing, My use case is transferring the version to the RPM that I build from it.
STEPS TO REPRODUCE
The implementation should introduce an additional parameter which causes what I described above. This is only relevant for the constellation version: latest and dest being a directory, because else the filename chosen by dest or the version explicitly selected win.

- hosts: localhost
  gather_facts: no
  tasks:
    - maven_artifact:
        version: latest
        artifact_id: spring-core
        group_id: org.springframework
        dest: /tmp/
        keep_name: yes
EXPECTED RESULTS
The downloaded artifact contains the dynamically determined version string. In this case, the last version found in this list. At the moment of creating this issue this is /tmp/spring-core-4.3.7.RELEASE.jar
ACTUAL RESULTS
The downloaded artifact is renamed to /tmp/spring-core-latest.jar",3
,1979,143,,,,,"SSH connection is established for every command

Here is the log of the run
$ ansible-playbook deploy.yml -i hosts -vvvv -c ssh

PLAY [app] ********************************************************************

GATHERING FACTS ***************************************************************
<hostname> ESTABLISH CONNECTION FOR USER: xxxxxxxxx
<hostname> REMOTE_MODULE setup
<hostname> EXEC ssh -C -vvv -o ControlMaster=auto -o ControlPersist=60s -o ControlPath=""/home/me/.ansible/cp/ansible-ssh-%h-%p-%r"" -o KbdInteractiveAuthentication=no -o PreferredAuthentications=gssapi-with-mic,gssapi-keyex,hostbased,publickey -o PasswordAuthentication=no -o User=xxxxxxxxx -o ConnectTimeout=10 hostname /bin/sh -c 'sudo -k && sudo -H -S -p ""[sudo via ansible, key=jzpkjtgucxrncjxcvemfmfxcxsgigepl] password: "" -u root /bin/sh -c '""'""'echo BECOME-SUCCESS-jzpkjtgucxrncjxcvemfmfxcxsgigepl; LANG=C LC_CTYPE=C /usr/bin/python'""'""''
ok: [hostname]

TASK: [install app-pkg] ****************************************************
<hostname> ESTABLISH CONNECTION FOR USER: xxxxxxxxx
<hostname> REMOTE_MODULE apt pkg=app-pkg state=latest
<hostname> EXEC ssh -C -vvv -o ControlMaster=auto -o ControlPersist=60s -o ControlPath=""/home/me/.ansible/cp/ansible-ssh-%h-%p-%r"" -o KbdInteractiveAuthentication=no -o PreferredAuthentications=gssapi-with-mic,gssapi-keyex,hostbased,publickey -o PasswordAuthentication=no -o User=xxxxxxxxx -o ConnectTimeout=10 hostname /bin/sh -c 'sudo -k && sudo -H -S -p ""[sudo via ansible, key=yyqqlkoftogxutbcuhdaczmvxpbeurqf] password: "" -u root /bin/sh -c '""'""'echo BECOME-SUCCESS-yyqqlkoftogxutbcuhdaczmvxpbeurqf; LANG=C LC_CTYPE=C /usr/bin/python'""'""''
ok: [hostname] => {""changed"": false}

TASK: [install nginx] *********************************************************
<hostname> ESTABLISH CONNECTION FOR USER: xxxxxxxxx
<hostname> REMOTE_MODULE apt pkg=nginx state=latest
<hostname> EXEC ssh -C -vvv -o ControlMaster=auto -o ControlPersist=60s -o ControlPath=""/home/me/.ansible/cp/ansible-ssh-%h-%p-%r"" -o KbdInteractiveAuthentication=no -o PreferredAuthentications=gssapi-with-mic,gssapi-keyex,hostbased,publickey -o PasswordAuthentication=no -o User=xxxxxxxxx -o ConnectTimeout=10 hostname /bin/sh -c 'sudo -k && sudo -H -S -p ""[sudo via ansible, key=hbtqwkkfqtfqkfdfcamgahpoycrmilqw] password: "" -u root /bin/sh -c '""'""'echo BECOME-SUCCESS-hbtqwkkfqtfqkfdfcamgahpoycrmilqw; LANG=C LC_CTYPE=C /usr/bin/python'""'""''
ok: [hostname] => {""changed"": false}

PLAY RECAP ********************************************************************
hostname      : ok=3    changed=0    unreachable=0    failed=0

The deply.yml is as simple as

---
- hosts: app
  vars: ~
  remote_user: xxxxxxxxx
  sudo: yes

followed by 2 tasks to install packages via apt-get.
The OS on both machines is ubuntu trusty, the requiretty does not exist in sudoers (on the target machine) and setting Defaults !requiretty does not change anything.
In the ansible config I have made only these 2 changes:


uncommented
ssh_args = -o ControlMaster=auto -o ControlPersist=60s


enabled
pipelining = True


It's for ansible 1.9.1 installed from the PPA.
What am I doing wrong?",2
,1979,140,,,,,"SSH connection is established for every command

Here is the log of the run
$ ansible-playbook deploy.yml -i hosts -vvvv -c ssh

PLAY [app] ********************************************************************

GATHERING FACTS ***************************************************************
<hostname> ESTABLISH CONNECTION FOR USER: xxxxxxxxx
<hostname> REMOTE_MODULE setup
<hostname> EXEC ssh -C -vvv -o ControlMaster=auto -o ControlPersist=60s -o ControlPath=""/home/me/.ansible/cp/ansible-ssh-%h-%p-%r"" -o KbdInteractiveAuthentication=no -o PreferredAuthentications=gssapi-with-mic,gssapi-keyex,hostbased,publickey -o PasswordAuthentication=no -o User=xxxxxxxxx -o ConnectTimeout=10 hostname /bin/sh -c 'sudo -k && sudo -H -S -p ""[sudo via ansible, key=jzpkjtgucxrncjxcvemfmfxcxsgigepl] password: "" -u root /bin/sh -c '""'""'echo BECOME-SUCCESS-jzpkjtgucxrncjxcvemfmfxcxsgigepl; LANG=C LC_CTYPE=C /usr/bin/python'""'""''
ok: [hostname]

TASK: [install app-pkg] ****************************************************
<hostname> ESTABLISH CONNECTION FOR USER: xxxxxxxxx
<hostname> REMOTE_MODULE apt pkg=app-pkg state=latest
<hostname> EXEC ssh -C -vvv -o ControlMaster=auto -o ControlPersist=60s -o ControlPath=""/home/me/.ansible/cp/ansible-ssh-%h-%p-%r"" -o KbdInteractiveAuthentication=no -o PreferredAuthentications=gssapi-with-mic,gssapi-keyex,hostbased,publickey -o PasswordAuthentication=no -o User=xxxxxxxxx -o ConnectTimeout=10 hostname /bin/sh -c 'sudo -k && sudo -H -S -p ""[sudo via ansible, key=yyqqlkoftogxutbcuhdaczmvxpbeurqf] password: "" -u root /bin/sh -c '""'""'echo BECOME-SUCCESS-yyqqlkoftogxutbcuhdaczmvxpbeurqf; LANG=C LC_CTYPE=C /usr/bin/python'""'""''
ok: [hostname] => {""changed"": false}

TASK: [install nginx] *********************************************************
<hostname> ESTABLISH CONNECTION FOR USER: xxxxxxxxx
<hostname> REMOTE_MODULE apt pkg=nginx state=latest
<hostname> EXEC ssh -C -vvv -o ControlMaster=auto -o ControlPersist=60s -o ControlPath=""/home/me/.ansible/cp/ansible-ssh-%h-%p-%r"" -o KbdInteractiveAuthentication=no -o PreferredAuthentications=gssapi-with-mic,gssapi-keyex,hostbased,publickey -o PasswordAuthentication=no -o User=xxxxxxxxx -o ConnectTimeout=10 hostname /bin/sh -c 'sudo -k && sudo -H -S -p ""[sudo via ansible, key=hbtqwkkfqtfqkfdfcamgahpoycrmilqw] password: "" -u root /bin/sh -c '""'""'echo BECOME-SUCCESS-hbtqwkkfqtfqkfdfcamgahpoycrmilqw; LANG=C LC_CTYPE=C /usr/bin/python'""'""''
ok: [hostname] => {""changed"": false}

PLAY RECAP ********************************************************************
hostname      : ok=3    changed=0    unreachable=0    failed=0

The deply.yml is as simple as

---
- hosts: app
  vars: ~
  remote_user: xxxxxxxxx
  sudo: yes

followed by 2 tasks to install packages via apt-get.
The OS on both machines is ubuntu trusty, the requiretty does not exist in sudoers (on the target machine) and setting Defaults !requiretty does not change anything.
In the ansible config I have made only these 2 changes:


uncommented
ssh_args = -o ControlMaster=auto -o ControlPersist=60s


enabled
pipelining = True


It's for ansible 1.9.1 installed from the PPA.
What am I doing wrong?",3
,1980,148,,,,,"rax_identity stacktraces with pyrax >= 1.8.0

Starting with pyrax 1.8.0 and greater installed, the rax_identity module now dies with a stacktrace trying to serialize the output:
failed: [localhost] => {""failed"": true, ""parsed"": false}
invalid output was: Traceback (most recent call last):
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 1438, in <module>
    main()
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 110, in main
    cloud_identity(module, state, pyrax.identity)
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 82, in cloud_identity
    module.exit_json(changed=changed, identity=instance)
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 1051, in exit_json
    print self.jsonify(kwargs)
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 1029, in jsonify
    return json.dumps(data)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/__init__.py"", line 243, in dumps
    return _default_encoder.encode(obj)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py"", line 207, in encode
    chunks = self.iterencode(o, _one_shot=True)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py"", line 270, in iterencode
    return _iterencode(o, 0)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py"", line 184, in default
    raise TypeError(repr(o) + "" is not JSON serializable"")
TypeError: <'load_balancer' Service object at 0x102bc23d0> is not JSON serializable

As a workaround, rolling back to < 1.8.0 fixes the problem.",3
,1980,142,,,,,"rax_identity stacktraces with pyrax >= 1.8.0

Starting with pyrax 1.8.0 and greater installed, the rax_identity module now dies with a stacktrace trying to serialize the output:
failed: [localhost] => {""failed"": true, ""parsed"": false}
invalid output was: Traceback (most recent call last):
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 1438, in <module>
    main()
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 110, in main
    cloud_identity(module, state, pyrax.identity)
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 82, in cloud_identity
    module.exit_json(changed=changed, identity=instance)
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 1051, in exit_json
    print self.jsonify(kwargs)
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 1029, in jsonify
    return json.dumps(data)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/__init__.py"", line 243, in dumps
    return _default_encoder.encode(obj)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py"", line 207, in encode
    chunks = self.iterencode(o, _one_shot=True)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py"", line 270, in iterencode
    return _iterencode(o, 0)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py"", line 184, in default
    raise TypeError(repr(o) + "" is not JSON serializable"")
TypeError: <'load_balancer' Service object at 0x102bc23d0> is not JSON serializable

As a workaround, rolling back to < 1.8.0 fixes the problem.",2
