,author,closedAt,number,publishedAt,resourcePath,source,state,text,label
0,{'login': 'jklaiho'},2019-03-25T11:40:21Z,16068,2016-05-31T12:00:14Z,/ansible/ansible/issues/16068,ansible,CLOSED,"Magic variable role_names to also list roles belonged to via dependencies?
Feature Idea
ansible 2.0.2.0 (not that relevant here though)
magic variables
The magic variable role_names, containing the list of all role names that the current target of the playbook belongs to, is quite useful in certain scenarios. For example, I use the same playbook to set up development vagrant VMs as well as test and production servers. A few tasks in certain roles are conditional on role membership, e.g. having when: ""'dev' in role_names"".
However, it looks like roles that are included via role dependencies in meta/main.yml files are not included in the role_names list. You could make an argument either way, but it seems to me that they should be there for completeness' sake, since role membership via dependency is still a type of role membership.
Seeing as role_names isn't really documented (""role_names"" site:docs.ansible.com on Google returns nothing, at least), it probably isn't very widely used right now, and changing the behaviour probably won't break much. Is this something you could consider?",NONE
1,{'login': 'jsmartin'},2014-09-29T20:46:26Z,4578,2013-10-18T02:51:50Z,/ansible/ansible/issues/4578,ansible,CLOSED,"SmartOS IP address fact
On SmartOS, in contrast with the other OS's, it appears that the IP address object is an actual list of IPs. Is that to be expected?
for example, in a smartos, I have to address it like this:
where on linux
will suffice.",NONE
2,{'login': 'tumbl3w33d'},2017-08-19T23:13:23Z,22337,2017-03-06T23:01:55Z,/ansible/ansible/issues/22337,ansible,CLOSED,"maven_artifact module should allow preserving the name of the downloaded artifact
Feature Idea
maven_artifact
N/A
N/A
When downloading an artifact you can ask the module to determine the latest version automatically (it gets extracted from the repo's metadata). The artifact's name in the repository comes with a version string which currently gets overwritten with 'latest' when downloading.
The problem with this approach is that you sometimes need to know what version the downloaded artifact has for further processing, My use case is transferring the version to the RPM that I build from it.
The implementation should introduce an additional parameter which causes what I described above. This is only relevant for the constellation version: latest and dest being a directory, because else the filename chosen by dest or the version explicitly selected win.
The downloaded artifact contains the dynamically determined version string. In this case, the last version found in this list. At the moment of creating this issue this is /tmp/spring-core-4.3.7.RELEASE.jar
The downloaded artifact is renamed to /tmp/spring-core-latest.jar",NONE
3,{'login': 'zerkms'},2015-05-04T23:42:47Z,10915,2015-05-04T23:39:55Z,/ansible/ansible/issues/10915,ansible,CLOSED,"SSH connection is established for every command
Here is the log of the run
The deply.yml is as simple as
followed by 2 tasks to install packages via apt-get.
The OS on both machines is ubuntu trusty, the requiretty does not exist in sudoers (on the target machine) and setting Defaults !requiretty does not change anything.
In the ansible config I have made only these 2 changes:
uncommented
ssh_args = -o ControlMaster=auto -o ControlPersist=60s
enabled
pipelining = True
It's for ansible 1.9.1 installed from the PPA.
What am I doing wrong?",SECURITY
4,{'login': 'claco'},2014-09-29T20:46:57Z,7860,2014-06-20T02:52:32Z,/ansible/ansible/issues/7860,ansible,CLOSED,"rax_identity stacktraces with pyrax >= 1.8.0
Starting with pyrax 1.8.0 and greater installed, the rax_identity module now dies with a stacktrace trying to serialize the output:
As a workaround, rolling back to < 1.8.0 fixes the problem.",NONE
5,{'login': 'ansible-bug-reporter'},2017-05-12T00:45:18Z,24460,2017-05-10T19:03:23Z,/ansible/ansible/issues/24460,ansible,CLOSED,"Force_handlers with_items does not execute handlers
Bug Report
Force handlers with_items
ansible 2.3.0.0
config file = /etc/ansible/ansible.cfg
configured module search path = configured module search path = Default w/o overrides
python version = 2.7.10 (default, May 1 2017, 19:24:18) [GCC 4.4.7 20120313 (Red Hat 4.4.7-16)]
We expect handlers to run when at least one item is changed when using with_items and force_handlers.
PLAY [localhost] **************************************************************************************************************************************************************************************************************************************************************
TASK [command] ****************************************************************************************************************************************************************************************************************************************************************
changed: [localhost] => (item=ls)
changed: [localhost] => (item=pwd)
failed: [localhost] (item=asdf) => {""changed"": true, ""cmd"": ""asdf"", ""delta"": ""0:00:00.001902"", ""end"": ""2017-05-10 13:59:28.650743"", ""failed"": true, ""item"": ""asdf"", ""rc"": 127, ""start"": ""2017-05-10 13:59:28.648841"", ""stderr"": ""/bin/sh: asdf: command not found"", ""stderr_lines"": [""/bin/sh: asdf: command not found""], ""stdout"": """", ""stdout_lines"": []}
RUNNING HANDLER [hello_world] *************************************************************************************************************************************************************************************************************************************************
ok: [localhost] => {
""changed"": false,
""msg"": ""Hello world!""
}
PLAY RECAP ********************************************************************************************************************************************************************************************************************************************************************
localhost : ok=1 changed=1 unreachable=0 failed=1
PLAY [localhost] **************************************************************************************************************************************************************************************************************************************************************
TASK [command] ****************************************************************************************************************************************************************************************************************************************************************
changed: [localhost] => (item=ls)
changed: [localhost] => (item=pwd)
failed: [localhost] (item=asdf) => {""changed"": true, ""cmd"": ""asdf"", ""delta"": ""0:00:00.001916"", ""end"": ""2017-05-10 14:00:00.284031"", ""failed"": true, ""item"": ""asdf"", ""rc"": 127, ""start"": ""2017-05-10 14:00:00.282115"", ""stderr"": ""/bin/sh: asdf: command not found"", ""stderr_lines"": [""/bin/sh: asdf: command not found""], ""stdout"": """", ""stdout_lines"": []}
PLAY RECAP ********************************************************************************************************************************************************************************************************************************************************************
localhost : ok=0 changed=0 unreachable=0 failed=1",FAULT TOLERANCE
6,{'login': 'phillipuniverse'},2013-10-19T18:02:28Z,4518,2013-10-15T13:57:16Z,/ansible/ansible/issues/4518,ansible,CLOSED,"Stack trace in YAML Validation Code
From the ansible-project list, the stack trace is as follows:
The issue ended up being that I missed a ':' between a variable key and value. I assume that this can be reproduced by leaving off a colon anywhere in a variable definition (or maybe even tasks). I specifically created this it by creating a vars section and putting:
I fixed it by instead doing:
@mpdehaan mentioned that this would be a pretty quick fix.",NONE
7,{'login': 'jlec'},2017-02-27T15:14:03Z,15326,2016-04-07T15:55:25Z,/ansible/ansible/issues/15326,ansible,CLOSED,"password_hash/get_encrypted_password uses passlib default of rounds=656000 which is 131 times glibc default
In the password_hash filter function the underlying passlib call uses the default rounds parameter.
The default for glibc is 5000, the passlib default for sha512 is 656000. This means on a login in a linux account the hash calculation will take significantly longer.
Actually you get basically no rounds parameter when setting it to 5000
Could a simple parameter be added to get_encrypted_password to set the value which has a preferable default what glibc does?",PERFORMANCE
8,{'login': 'webarchitect609'},2017-01-22T17:48:50Z,20547,2017-01-22T10:15:57Z,/ansible/ansible/issues/20547,ansible,CLOSED,"Broken 'Edit on GitHub' link at http://docs.ansible.com/ansible/intro_adhoc.html
Documentation Report
'Edit on GitHub' http://joxi.ru/l2Z6VxFwlbVL2J?d=1 link leads to 404 error page http://joxi.ru/eAO14Wfxv1Gdmo?d=1
1 Go to http://docs.ansible.com/ansible/intro_adhoc.html
2 Press 'Edit on GitHub' at top right corner.
3 See 404 error page.
Some kind of valid git hub page for editing related page.
404 error page",NONE
9,{'login': 'tzookb'},2015-11-19T22:41:48Z,13103,2015-11-09T22:18:55Z,/ansible/ansible/issues/13103,ansible,CLOSED,"ansible fails with an exception in python
I sinply run command: ""forever stopall""
but I get this output from stdout when it fails:
fatal: [node1] => Traceback (most recent call last):
File ""/Library/Python/2.7/site-packages/ansible/runner/init.py"", line 586, in _executor
exec_rc = self._executor_internal(host, new_stdin)
File ""/Library/Python/2.7/site-packages/ansible/runner/init.py"", line 789, in _executor_internal
return self._executor_internal_inner(host, self.module_name, self.module_args, inject, port, complex_args=complex_args)
File ""/Library/Python/2.7/site-packages/ansible/runner/init.py"", line 1005, in _executor_internal_inner
num_args_post = self._count_module_args(module_args)
File ""/Library/Python/2.7/site-packages/ansible/runner/init.py"", line 433, in _count_module_args
vargs = split_args(args)
File ""/Library/Python/2.7/site-packages/ansible/module_utils/splitter.py"", line 73, in split_args
args = args.strip()
AttributeError: 'dict' object has no attribute 'strip'",NONE
10,{'login': 'blakfeld'},2016-03-01T04:18:53Z,14659,2016-02-25T15:39:17Z,/ansible/ansible/issues/14659,ansible,CLOSED,"--diff Flag crashes on win_copy
Issue Type:
Bug Report
Ansible Version:
Ansible Configuration:
Stock
Environment:
Running from: Ubuntu 14.04
Targeting: Windows 2k12
Summary:
The --diff flag fails when using the win_copy module.
Steps To Reproduce:
Run any playbook that contains the win_copy module while using the --diff flag against a Windows box.
Expected Results:
I expect to see a diff between the file that was already on disk, and the one I just copied over.
Actual Results:
Here's the entire output
https://gist.github.com/blakfeld/542b191c85f4385e50bf
Here's the relevant output
The problem appears to be because the --diff command is relying upon the existence of a 'state' key in the returned JSON. This appears to be a key added in the module_utils.basic Python module, specifically the add_path_info method, which seems to be called by load_common_file_arguments. I was going to just hack this into win_copy, but it seems to me that the most reasonable solution would be to add load_common_file_arguments to powershell_common.ps1. I'm more than happy to start work on that if the community agrees that is the best answer.",FAULT TOLERANCE
11,{'login': 'sebi-hgdata'},2015-08-12T14:50:19Z,11881,2015-08-06T19:53:25Z,/ansible/ansible/issues/11881,ansible,CLOSED,"Variable overding during nested includes issue
It seems variables are not overridden when using nested includes (this works ok in v1 ) .This might be related to #11353 . To reproduce the issue you can follow the steps from #11353 ...
In build.yml I have a variable docker_tags what is overriden in tasks/docker/base_build.yml... instead of printing the overridden value it prints the value from build.yml. See debug statements after running 'ansible-playbook -v build_admin_ui.yml -i inventories/local/hosts --extra-vars ""admin_ui_version=1234""'",MAINTAINABILITY
12,{'login': 'BenMo158'},2016-04-29T00:13:51Z,13390,2015-12-02T06:13:11Z,/ansible/ansible/issues/13390,ansible,CLOSED,"[v2] ""win_iis_webbinding"" module require additional parameters to run?
I was run
I need run this,it's work
",MAINTAINABILITY
