id,text,label,source,source_id
0,The system shall refresh the display every 60 seconds.,PERFORMANCE,PROMISE,1
1,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,USABILITY,PROMISE,1
2,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,AVAILABILITY,PROMISE,1
3,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,USABILITY,PROMISE,1
4,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,SECURITY,PROMISE,1
5,The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,USABILITY,PROMISE,1
6,The product shall respond fast to keep up-to-date data in the display.,PERFORMANCE,PROMISE,1
7,The system shall be used by realtors with no training.,USABILITY,PROMISE,2
8,The system shall be intuitive and self explanatory.,USABILITY,PROMISE,2
9,The product shall be easy for a realtor to learn.,USABILITY,PROMISE,2
10,The product shall use symbols and words that are naturally understandable by the realtor community.,USABILITY,PROMISE,2
11,The product shall produce search results in an acceptable time,PERFORMANCE,PROMISE,2
12,The search results shall be returned no later 30 seconds after the user has entered the search criteria,PERFORMANCE,PROMISE,2
13,The product shall generate a CMA report in an acceptable time.,PERFORMANCE,PROMISE,2
14,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PERFORMANCE,PROMISE,2
15,The product shall synchronize contacts and appointments in an acceptable time.,PERFORMANCE,PROMISE,2
16,The product shall synchronize with the office system every hour.,PERFORMANCE,PROMISE,2
17,The product shall be available for use 24 hours per day 365 days per year,AVAILABILITY,PROMISE,2
18,Out of 1000 accesses to the system the system is available 999 times.,AVAILABILITY,PROMISE,2
19,The product shall operate in offline mode whenever internet connection is unavailable.,FAULT TOLERANCE,PROMISE,2
20,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,FAULT TOLERANCE,PROMISE,2
21,The product shall retain user preferences in the event of a failure.,FAULT TOLERANCE,PROMISE,2
22,100% of saved user preferences shall be restored when system comes back online.,FAULT TOLERANCE,PROMISE,2
23,The product shall be able to support multiple remote users,SCALABILITY,PROMISE,2
24,The product shall be able support 1000 simultaneous users.,SCALABILITY,PROMISE,2
25,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SCALABILITY,PROMISE,2
26,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,USABILITY,PROMISE,2
27,90% of untrained realtors shall be able to install the product on their device without printed instructions,USABILITY,PROMISE,2
28,Only registered realtors shall be able to access the system.,SECURITY,PROMISE,2
29,Every user of the system shall be authenticated and authorized.,SECURITY,PROMISE,2
30,The product shall prevent its data from incorrect data being introduced.,SECURITY,PROMISE,2
31,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,USABILITY,PROMISE,3
32,All of the users shall be able to use the system after one day of training.,USABILITY,PROMISE,3
33,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,USABILITY,PROMISE,3
34,The number of mistakes noted by the students shall be decreased by 50% in the first year.,USABILITY,PROMISE,3
35,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,USABILITY,PROMISE,3
36,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,USABILITY,PROMISE,3
37,The system shall use symbols and words that are naturally understandable by the user community.,USABILITY,PROMISE,3
38,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,USABILITY,PROMISE,3
39,Staff members shall be able to complete a set of tasks in a timely manner.,PERFORMANCE,PROMISE,3
40,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PERFORMANCE,PROMISE,3
41,The system shall be available for use between the hours of 8am and 6pm.,AVAILABILITY,PROMISE,3
42,The system shall achieve 95% up time.,AVAILABILITY,PROMISE,3
43,system shall be able to handle all of the user requests/usage during business hours.,SCALABILITY,PROMISE,3
44,The system shall cater to 10 simultaneous users from 9am to 5pm.,SCALABILITY,PROMISE,3
45,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SCALABILITY,PROMISE,3
46,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SCALABILITY,PROMISE,3
47,Only authorized users shall have access to clinical site information.,SECURITY,PROMISE,3
48,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,SECURITY,PROMISE,3
49,Only authorized users shall have access to students' personal information.,SECURITY,PROMISE,3
50,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.,SECURITY,PROMISE,3
51,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,SECURITY,PROMISE,3
52,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,SECURITY,PROMISE,3
53,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,SECURITY,PROMISE,3
54,The system shall protect private information in accordance with the organization's information policy.,SECURITY,PROMISE,3
55,The system shall be built such that it is as secure as possible from malicious interference.,SECURITY,PROMISE,3
56,The system shall use the organization's standard virus protection software to help monitor threats to itself.,SECURITY,PROMISE,3
57,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,USABILITY,PROMISE,4
58,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,USABILITY,PROMISE,4
59,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,USABILITY,PROMISE,4
60,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,USABILITY,PROMISE,4
61,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PERFORMANCE,PROMISE,4
62,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PERFORMANCE,PROMISE,4
63,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,SECURITY,PROMISE,4
64,Only users with Update access must be able to initiate dispute requests.,SECURITY,PROMISE,4
65,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,SECURITY,PROMISE,4
