,author,closedAt,number,publishedAt,resourcePath,source,state,text
0,{'login': 'jklaiho'},2019-03-25T11:40:21Z,16068.0,2016-05-31T12:00:14Z,/ansible/ansible/issues/16068,ansible,CLOSED,"Magic variable role_names to also list roles belonged to via dependencies?
ISSUE TYPE

Feature Idea

ANSIBLE VERSION
ansible 2.0.2.0 (not that relevant here though)
COMPONENT NAME
magic variables
SUMMARY
The magic variable role_names, containing the list of all role names that the current target of the playbook belongs to, is quite useful in certain scenarios. For example, I use the same playbook to set up development vagrant VMs as well as test and production servers. A few tasks in certain roles are conditional on role membership, e.g. having when: ""'dev' in role_names"".
However, it looks like roles that are included via role dependencies in meta/main.yml files are not included in the role_names list. You could make an argument either way, but it seems to me that they should be there for completeness' sake, since role membership via dependency is still a type of role membership.
Seeing as role_names isn't really documented (""role_names"" site:docs.ansible.com on Google returns nothing, at least), it probably isn't very widely used right now, and changing the behaviour probably won't break much. Is this something you could consider?"
1,{'login': 'jsmartin'},2014-09-29T20:46:26Z,4578.0,2013-10-18T02:51:50Z,/ansible/ansible/issues/4578,ansible,CLOSED,"SmartOS IP address fact
On SmartOS, in contrast with the other OS's, it appears that the IP address object is an actual list of IPs.  Is that to be expected?
for example, in a smartos, I have to address it like this:
{{ ansible_net1['ipv4'][0]['address'] }}

where on linux
{{ ansible_net1['ipv4']['address'] }}

will suffice."
2,{'login': 'tumbl3w33d'},2017-08-19T23:13:23Z,22337.0,2017-03-06T23:01:55Z,/ansible/ansible/issues/22337,ansible,CLOSED,"maven_artifact module should allow preserving the name of the downloaded artifact
ISSUE TYPE

Feature Idea

COMPONENT NAME
maven_artifact
ANSIBLE VERSION
ansible 2.3.0 (devel 3e4be156d7) last updated 2017/03/06 21:46:14 (GMT +200)

CONFIGURATION
N/A
OS / ENVIRONMENT
N/A
SUMMARY
When downloading an artifact you can ask the module to determine the latest version automatically (it gets extracted from the repo's metadata). The artifact's name in the repository comes with a version string which currently gets overwritten with 'latest' when downloading.
The problem with this approach is that you sometimes need to know what version the downloaded artifact has for further processing, My use case is transferring the version to the RPM that I build from it.
STEPS TO REPRODUCE
The implementation should introduce an additional parameter which causes what I described above. This is only relevant for the constellation version: latest and dest being a directory, because else the filename chosen by dest or the version explicitly selected win.

- hosts: localhost
  gather_facts: no
  tasks:
    - maven_artifact:
        version: latest
        artifact_id: spring-core
        group_id: org.springframework
        dest: /tmp/
        keep_name: yes
EXPECTED RESULTS
The downloaded artifact contains the dynamically determined version string. In this case, the last version found in this list. At the moment of creating this issue this is /tmp/spring-core-4.3.7.RELEASE.jar
ACTUAL RESULTS
The downloaded artifact is renamed to /tmp/spring-core-latest.jar"
3,{'login': 'zerkms'},2015-05-04T23:42:47Z,10915.0,2015-05-04T23:39:55Z,/ansible/ansible/issues/10915,ansible,CLOSED,"SSH connection is established for every command
Here is the log of the run
$ ansible-playbook deploy.yml -i hosts -vvvv -c ssh

PLAY [app] ********************************************************************

GATHERING FACTS ***************************************************************
<hostname> ESTABLISH CONNECTION FOR USER: xxxxxxxxx
<hostname> REMOTE_MODULE setup
<hostname> EXEC ssh -C -vvv -o ControlMaster=auto -o ControlPersist=60s -o ControlPath=""/home/me/.ansible/cp/ansible-ssh-%h-%p-%r"" -o KbdInteractiveAuthentication=no -o PreferredAuthentications=gssapi-with-mic,gssapi-keyex,hostbased,publickey -o PasswordAuthentication=no -o User=xxxxxxxxx -o ConnectTimeout=10 hostname /bin/sh -c 'sudo -k && sudo -H -S -p ""[sudo via ansible, key=jzpkjtgucxrncjxcvemfmfxcxsgigepl] password: "" -u root /bin/sh -c '""'""'echo BECOME-SUCCESS-jzpkjtgucxrncjxcvemfmfxcxsgigepl; LANG=C LC_CTYPE=C /usr/bin/python'""'""''
ok: [hostname]

TASK: [install app-pkg] ****************************************************
<hostname> ESTABLISH CONNECTION FOR USER: xxxxxxxxx
<hostname> REMOTE_MODULE apt pkg=app-pkg state=latest
<hostname> EXEC ssh -C -vvv -o ControlMaster=auto -o ControlPersist=60s -o ControlPath=""/home/me/.ansible/cp/ansible-ssh-%h-%p-%r"" -o KbdInteractiveAuthentication=no -o PreferredAuthentications=gssapi-with-mic,gssapi-keyex,hostbased,publickey -o PasswordAuthentication=no -o User=xxxxxxxxx -o ConnectTimeout=10 hostname /bin/sh -c 'sudo -k && sudo -H -S -p ""[sudo via ansible, key=yyqqlkoftogxutbcuhdaczmvxpbeurqf] password: "" -u root /bin/sh -c '""'""'echo BECOME-SUCCESS-yyqqlkoftogxutbcuhdaczmvxpbeurqf; LANG=C LC_CTYPE=C /usr/bin/python'""'""''
ok: [hostname] => {""changed"": false}

TASK: [install nginx] *********************************************************
<hostname> ESTABLISH CONNECTION FOR USER: xxxxxxxxx
<hostname> REMOTE_MODULE apt pkg=nginx state=latest
<hostname> EXEC ssh -C -vvv -o ControlMaster=auto -o ControlPersist=60s -o ControlPath=""/home/me/.ansible/cp/ansible-ssh-%h-%p-%r"" -o KbdInteractiveAuthentication=no -o PreferredAuthentications=gssapi-with-mic,gssapi-keyex,hostbased,publickey -o PasswordAuthentication=no -o User=xxxxxxxxx -o ConnectTimeout=10 hostname /bin/sh -c 'sudo -k && sudo -H -S -p ""[sudo via ansible, key=hbtqwkkfqtfqkfdfcamgahpoycrmilqw] password: "" -u root /bin/sh -c '""'""'echo BECOME-SUCCESS-hbtqwkkfqtfqkfdfcamgahpoycrmilqw; LANG=C LC_CTYPE=C /usr/bin/python'""'""''
ok: [hostname] => {""changed"": false}

PLAY RECAP ********************************************************************
hostname      : ok=3    changed=0    unreachable=0    failed=0

The deply.yml is as simple as

---
- hosts: app
  vars: ~
  remote_user: xxxxxxxxx
  sudo: yes

followed by 2 tasks to install packages via apt-get.
The OS on both machines is ubuntu trusty, the requiretty does not exist in sudoers (on the target machine) and setting Defaults !requiretty does not change anything.
In the ansible config I have made only these 2 changes:


uncommented
ssh_args = -o ControlMaster=auto -o ControlPersist=60s


enabled
pipelining = True


It's for ansible 1.9.1 installed from the PPA.
What am I doing wrong?"
4,{'login': 'claco'},2014-09-29T20:46:57Z,7860.0,2014-06-20T02:52:32Z,/ansible/ansible/issues/7860,ansible,CLOSED,"rax_identity stacktraces with pyrax >= 1.8.0
Starting with pyrax 1.8.0 and greater installed, the rax_identity module now dies with a stacktrace trying to serialize the output:
failed: [localhost] => {""failed"": true, ""parsed"": false}
invalid output was: Traceback (most recent call last):
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 1438, in <module>
    main()
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 110, in main
    cloud_identity(module, state, pyrax.identity)
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 82, in cloud_identity
    module.exit_json(changed=changed, identity=instance)
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 1051, in exit_json
    print self.jsonify(kwargs)
  File ""/Users/claco/.ansible/tmp/ansible-tmp-1403232596.15-235494610913070/rax_identity"", line 1029, in jsonify
    return json.dumps(data)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/__init__.py"", line 243, in dumps
    return _default_encoder.encode(obj)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py"", line 207, in encode
    chunks = self.iterencode(o, _one_shot=True)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py"", line 270, in iterencode
    return _iterencode(o, 0)
  File ""/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/encoder.py"", line 184, in default
    raise TypeError(repr(o) + "" is not JSON serializable"")
TypeError: <'load_balancer' Service object at 0x102bc23d0> is not JSON serializable

As a workaround, rolling back to < 1.8.0 fixes the problem."
5,{'login': 'ansible-bug-reporter'},2017-05-12T00:45:18Z,24460.0,2017-05-10T19:03:23Z,/ansible/ansible/issues/24460,ansible,CLOSED,"Force_handlers with_items does not execute handlers
ISSUE TYPE

Bug Report

COMPONENT NAME
Force handlers with_items
ANSIBLE VERSION
ansible 2.3.0.0
config file = /etc/ansible/ansible.cfg
configured module search path = configured module search path = Default w/o overrides
python version = 2.7.10 (default, May  1 2017, 19:24:18) [GCC 4.4.7 20120313 (Red Hat 4.4.7-16)]
CONFIGURATION
OS / ENVIRONMENT
SUMMARY
We expect handlers to run when at least one item is changed when using with_items and force_handlers.
STEPS TO REPRODUCE
---
- hosts: localhost
  gather_facts: no
  force_handlers: True
  handlers:
    - name: hello_world
      debug:
  vars:
    commands:
      - ls
      - pwd
      - asdf
  tasks:
    - shell: ""{{ item }}""
      with_items: ""{{ commands }}""
      notify: hello_world

EXPECTED RESULTS
PLAY [localhost] **************************************************************************************************************************************************************************************************************************************************************
TASK [command] ****************************************************************************************************************************************************************************************************************************************************************
changed: [localhost] => (item=ls)
changed: [localhost] => (item=pwd)
failed: [localhost] (item=asdf) => {""changed"": true, ""cmd"": ""asdf"", ""delta"": ""0:00:00.001902"", ""end"": ""2017-05-10 13:59:28.650743"", ""failed"": true, ""item"": ""asdf"", ""rc"": 127, ""start"": ""2017-05-10 13:59:28.648841"", ""stderr"": ""/bin/sh: asdf: command not found"", ""stderr_lines"": [""/bin/sh: asdf: command not found""], ""stdout"": """", ""stdout_lines"": []}
RUNNING HANDLER [hello_world] *************************************************************************************************************************************************************************************************************************************************
ok: [localhost] => {
""changed"": false,
""msg"": ""Hello world!""
}
PLAY RECAP ********************************************************************************************************************************************************************************************************************************************************************
localhost                  : ok=1    changed=1    unreachable=0    failed=1
ACTUAL RESULTS
PLAY [localhost] **************************************************************************************************************************************************************************************************************************************************************
TASK [command] ****************************************************************************************************************************************************************************************************************************************************************
changed: [localhost] => (item=ls)
changed: [localhost] => (item=pwd)
failed: [localhost] (item=asdf) => {""changed"": true, ""cmd"": ""asdf"", ""delta"": ""0:00:00.001916"", ""end"": ""2017-05-10 14:00:00.284031"", ""failed"": true, ""item"": ""asdf"", ""rc"": 127, ""start"": ""2017-05-10 14:00:00.282115"", ""stderr"": ""/bin/sh: asdf: command not found"", ""stderr_lines"": [""/bin/sh: asdf: command not found""], ""stdout"": """", ""stdout_lines"": []}
PLAY RECAP ********************************************************************************************************************************************************************************************************************************************************************
localhost                  : ok=0    changed=0    unreachable=0    failed=1"
6,{'login': 'phillipuniverse'},2013-10-19T18:02:28Z,4518.0,2013-10-15T13:57:16Z,/ansible/ansible/issues/4518,ansible,CLOSED,"Stack trace in YAML Validation Code
From the ansible-project list, the stack trace is as follows:
Traceback (most recent call last):
  File ""/usr/local/share/python/ansible-playbook"", line 268, in <module>
    sys.exit(main(sys.argv[1:]))
  File ""/usr/local/share/python/ansible-playbook"", line 208, in main
    pb.run()
  File ""/usr/local/lib/python2.7/site-packages/ansible/playbook/__init__.py"", line 228, in run
    play = Play(self, play_ds, play_basedir)
  File ""/usr/local/lib/python2.7/site-packages/ansible/playbook/play.py"", line 80, in __init__
    ds = self._load_roles(self.roles, ds)
  File ""/usr/local/lib/python2.7/site-packages/ansible/playbook/play.py"", line 288, in _load_roles
    roles = self._build_role_dependencies(roles, [], self.vars)
  File ""/usr/local/lib/python2.7/site-packages/ansible/playbook/play.py"", line 178, in _build_role_dependencies
    defaults_data = utils.parse_yaml_from_file(defaults)
  File ""/usr/local/lib/python2.7/site-packages/ansible/utils/__init__.py"", line 419, in parse_yaml_from_file
    process_yaml_error(exc, data, path)
  File ""/usr/local/lib/python2.7/site-packages/ansible/utils/__init__.py"", line 397, in process_yaml_error
    msg = process_common_errors(msg, probline, mark.column)
  File ""/usr/local/lib/python2.7/site-packages/ansible/utils/__init__.py"", line 358, in process_common_errors
    elif len(probline) and probline[column] == "":"" and probline.find(""="") != -1:
IndexError: string index out of range
The issue ended up being that I missed a ':' between a variable key and value. I assume that this can be reproduced by leaving off a colon anywhere in a variable definition (or maybe even tasks). I specifically created this  it by creating a vars section and putting:
---
variable value
I fixed it by instead doing:
---
variable: value
@mpdehaan mentioned that this would be a pretty quick fix."
7,{'login': 'jlec'},2017-02-27T15:14:03Z,15326.0,2016-04-07T15:55:25Z,/ansible/ansible/issues/15326,ansible,CLOSED,"password_hash/get_encrypted_password uses passlib default of rounds=656000 which is 131 times glibc default
In the password_hash filter function the underlying passlib call uses the default rounds parameter.
The default for glibc is 5000, the passlib default for sha512 is 656000. This means on a login in a linux account the hash calculation will take significantly longer.
Actually you get basically no rounds parameter when setting it to 5000
$ python -c ""from passlib.hash import sha512_crypt; print sha512_crypt.encrypt('foo', rounds=5000)""
$6$0zDM3P3/MbIoF0G0$pVmR8hc0ZNYdfGLnFhVKeCGhd32kDXo6ky83JmUWTZCfVQm2IrhnIbrrg5Vyl9XxE5aWzdmuYpvTA6gyOFc5Z.
$ python -c ""from passlib.hash import sha512_crypt; print sha512_crypt.encrypt('foo', rounds=5001)""
$6$rounds=5001$VFyJ36YLb/RLhx0e$CAFCB/W7ebYEHIFsZtlJSdvuzEtsYOAvtOwCF7ahqpWqLj62TJp4LlzZ/FiW1B2U5kSKh4xibiJgZyd2ceVoI1
Could a simple parameter be added to get_encrypted_password to set the value which has a preferable default what glibc does?"
8,{'login': 'webarchitect609'},2017-01-22T17:48:50Z,20547.0,2017-01-22T10:15:57Z,/ansible/ansible/issues/20547,ansible,CLOSED,"Broken 'Edit on GitHub' link at http://docs.ansible.com/ansible/intro_adhoc.html
ISSUE TYPE

Documentation Report

SUMMARY
'Edit on GitHub' http://joxi.ru/l2Z6VxFwlbVL2J?d=1 link leads to 404 error page http://joxi.ru/eAO14Wfxv1Gdmo?d=1
STEPS TO REPRODUCE
1 Go to http://docs.ansible.com/ansible/intro_adhoc.html
2 Press 'Edit on GitHub' at top right corner.
3 See 404 error page.
EXPECTED RESULTS
Some kind of valid git hub page for editing related page.
ACTUAL RESULTS
404 error page"
9,{'login': 'tzookb'},2015-11-19T22:41:48Z,13103.0,2015-11-09T22:18:55Z,/ansible/ansible/issues/13103,ansible,CLOSED,"ansible fails with an exception in python
I sinply run command: ""forever stopall""
but I get this output from stdout when it fails:
fatal: [node1] => Traceback (most recent call last):
File ""/Library/Python/2.7/site-packages/ansible/runner/init.py"", line 586, in _executor
exec_rc = self._executor_internal(host, new_stdin)
File ""/Library/Python/2.7/site-packages/ansible/runner/init.py"", line 789, in _executor_internal
return self._executor_internal_inner(host, self.module_name, self.module_args, inject, port, complex_args=complex_args)
File ""/Library/Python/2.7/site-packages/ansible/runner/init.py"", line 1005, in _executor_internal_inner
num_args_post = self._count_module_args(module_args)
File ""/Library/Python/2.7/site-packages/ansible/runner/init.py"", line 433, in _count_module_args
vargs = split_args(args)
File ""/Library/Python/2.7/site-packages/ansible/module_utils/splitter.py"", line 73, in split_args
args = args.strip()
AttributeError: 'dict' object has no attribute 'strip'"
