line,tag
0,"<TIMEX3 periodicity=""PT60S"" quant=""every"" tid=""t1"" type=""SET"" value=""PT60S"">every 60 seconds</TIMEX3>"
1,"null"
1,"null"
2,"<TIMEX3 range=""(,,PTXH)"" tid=""t1"" type=""DURATION"" value=""PTXH"">hours</TIMEX3>"
2,"null"
2,"<TIMEX3 range=""(,,P6M)"" tid=""t2"" type=""DURATION"" value=""P6M"">the first six months</TIMEX3>"
3,"null"
3,"<TIMEX3 range=""(PRESENT_REF,PRESENT_REF,)"" tid=""t1"" type=""DATE"" value=""PRESENT_REF"">current</TIMEX3>"
3,"null"
5,"null"
5,"<TIMEX3 range=""(,,PT90M)"" tid=""t1"" type=""DURATION"" value=""PT90M"">90 minutes</TIMEX3>"
12,"<TIMEX3 range=""(,,PT30S)"" tid=""t1"" type=""DURATION"" value=""PT30S"">later 30 seconds</TIMEX3>"
13,"null"
14,"null"
14,"<TIMEX3 range=""(,,PT60S)"" tid=""t1"" type=""DURATION"" value=""PT60S"">later 60 seconds</TIMEX3>"
14,"null"
16,"<TIMEX3 periodicity=""PT1H"" quant=""every"" tid=""t1"" type=""SET"" value=""PT1H"">every hour</TIMEX3>"
17,"<TIMEX3 range=""(,,PT24H)"" tid=""t1"" type=""DURATION"" value=""PT24H"">24 hours</TIMEX3>"
17,"<TIMEX3 range=""(,,P1D)"" tid=""t2"" type=""DURATION"" value=""P1D"">day</TIMEX3>"
17,"<TIMEX3 range=""(,,P365D)"" tid=""t3"" type=""DURATION"" value=""P365D"">365 days</TIMEX3>"
17,"<TIMEX3 range=""(,,P1Y)"" tid=""t4"" type=""DURATION"" value=""P1Y"">year</TIMEX3>"
18,"null"
18,"null"
20,"<TIMEX3 range=""(UNKNOWN,PRESENT_REF,)"" tid=""t1"" type=""DATE"" value=""PAST_REF"">previously</TIMEX3>"
20,"null"
22,"null"
24,"null"
25,"null"
25,"null"
25,"<TIMEX3 range=""(2021-01-01,2021-12-31,P1Y)"" tid=""t1"" type=""DATE"" value=""2021"">the next year</TIMEX3>"
27,"null"
32,"<TIMEX3 range=""(,,P1D)"" tid=""t1"" type=""DURATION"" value=""P1D"">one day</TIMEX3>"
34,"null"
34,"<TIMEX3 range=""(,,PXY)"" tid=""t1"" type=""DURATION"" value=""PXY"">the first year</TIMEX3>"
36,"null"
36,"null"
38,"null"
38,"null"
38,"null"
40,"null"
40,"<TIMEX3 range=""(,,PT5S)"" tid=""t1"" type=""DURATION"" value=""PT5S"">5 seconds</TIMEX3>"
40,"<TIMEX3 range=""(,,PT30S)"" tid=""t2"" type=""DURATION"" value=""PT30S"">30 seconds</TIMEX3>"
